id	choice	smarttv1	smarttv2	smarttv3	s_screen1	s_screen2	s_screen3	threed1	threed2	threed3	s_price1	s_price2	s_price3
8	3	0	1	0	30	40	50	0	1	0	500	600	400
8	2	0	1	0	30	50	40	1	0	0	600	400	500
8	2	0	1	1	30	40	50	1	0	0	500	400	600
8	4	0	1	1	30	50	40	1	1	0	400	500	600
8	1	0	1	0	40	30	50	0	1	0	400	600	500
8	3	1	0	0	30	40	50	0	1	0	600	500	400
9	3	1	0	0	30	40	50	1	0	0	400	600	500
9	1	0	1	1	50	30	40	1	0	0	400	600	500
9	3	0	1	0	30	40	50	1	0	1	400	500	600
9	3	1	0	1	30	40	50	0	1	1	500	400	600
9	2	1	0	1	40	50	30	1	0	1	400	600	500
9	3	0	0	1	40	30	50	0	0	1	600	500	400
9	3	0	1	0	30	40	50	0	1	0	500	600	400
9	2	0	1	0	30	50	40	1	0	0	600	400	500
9	3	0	1	1	30	40	50	1	0	0	500	400	600
9	2	0	1	1	30	50	40	1	1	0	400	500	600
9	3	0	1	0	40	30	50	0	1	0	400	600	500
9	3	1	0	0	30	40	50	0	1	0	600	500	400
10	2	1	0	0	30	40	50	1	0	0	400	600	500
10	1	0	1	1	50	30	40	1	0	0	400	600	500
10	4	0	1	0	30	40	50	1	0	1	400	500	600
10	2	1	0	1	30	40	50	0	1	1	500	400	600
10	1	1	0	1	40	50	30	1	0	1	400	600	500
10	2	0	0	1	40	30	50	0	0	1	600	500	400
10	1	0	1	0	30	40	50	0	1	0	500	600	400
10	2	0	1	0	30	50	40	1	0	0	600	400	500
10	1	0	1	1	30	40	50	1	0	0	500	400	600
10	2	0	1	1	30	50	40	1	1	0	400	500	600
10	1	0	1	0	40	30	50	0	1	0	400	600	500
10	2	1	0	0	30	40	50	0	1	0	600	500	400
11	1	1	0	0	30	40	50	1	0	0	400	600	500
11	2	0	1	1	50	30	40	1	0	0	400	600	500
11	3	0	1	0	30	40	50	1	0	1	400	500	600
11	3	1	0	1	30	40	50	0	1	1	500	400	600
11	1	1	0	1	40	50	30	1	0	1	400	600	500
11	3	0	0	1	40	30	50	0	0	1	600	500	400
11	3	0	1	0	30	40	50	0	1	0	500	600	400
11	2	0	1	0	30	50	40	1	0	0	600	400	500
11	3	0	1	1	30	40	50	1	0	0	500	400	600
11	2	0	1	1	30	50	40	1	1	0	400	500	600
11	4	0	1	0	40	30	50	0	1	0	400	600	500
11	3	1	0	0	30	40	50	0	1	0	600	500	400
12	4	1	0	0	30	40	50	1	0	0	400	600	500
12	1	0	1	1	50	30	40	1	0	0	400	600	500
12	4	0	1	0	30	40	50	1	0	1	400	500	600
12	3	1	0	1	30	40	50	0	1	1	500	400	600
12	1	1	0	1	40	50	30	1	0	1	400	600	500
12	3	0	0	1	40	30	50	0	0	1	600	500	400
12	3	0	1	0	30	40	50	0	1	0	500	600	400
12	2	0	1	0	30	50	40	1	0	0	600	400	500
12	4	0	1	1	30	40	50	1	0	0	500	400	600
12	2	0	1	1	30	50	40	1	1	0	400	500	600
12	3	0	1	0	40	30	50	0	1	0	400	600	500
12	3	1	0	0	30	40	50	0	1	0	600	500	400
13	3	1	0	0	30	40	50	1	0	0	400	600	500
13	1	0	1	1	50	30	40	1	0	0	400	600	500
13	3	0	1	0	30	40	50	1	0	1	400	500	600
13	3	1	0	1	30	40	50	0	1	1	500	400	600
13	2	1	0	1	40	50	30	1	0	1	400	600	500
13	3	0	0	1	40	30	50	0	0	1	600	500	400
13	2	0	1	0	30	40	50	0	1	0	500	600	400
13	2	0	1	0	30	50	40	1	0	0	600	400	500
13	3	0	1	1	30	40	50	1	0	0	500	400	600
13	2	0	1	1	30	50	40	1	1	0	400	500	600
